OBJECTID,LOCATION,RAD,zipcode
1,N 26TH ST & W YORK ST,S,19132
2,N 28TH ST & W THOMPSON ST,S,19121
3,S 13TH ST & SHUNK ST,S,19148
5,RIDGE AVE & SHAWMONT AVE,N,19128
6,W HIGHLAND AVE & SHAWNEE ST,N,19118
7,1210 OAK LN,N,19126
8,RISING SUN AVE & BENNER ST,N,19111
9,RHAWN ST & VERREE RD,N,19111
11,RIDGE AVE & CINNAMINSON ST,N,19128
12,S 4TH ST & SNYDER AVE,S,19148
13,2 PIA WAY,S,19113
14,N 61ST ST & W THOMPSON ST,S,19151
15,RIDGE AVE & MIDVALE AVE,N,19129-1712
16,76TH AVE & OGONTZ AVE,N,19150
17,5931 OLD YORK RD,N,19141
18,RISING SUN AVE & E SOMERVILLE AVE,N,19120
19,N PARK AVE & W CAMBRIA ST,N,19132
20,S DELAWARE AVE & WASHINGTON AVE,S,19147
21,JACKSON ST & VAN KIRK ST,N,19135
22,FOULKROD ST & LANGDON ST,N,19124
23,7818 FRANKFORD AVE,N,19136
24,BUSTLETON AVE & BOWLER ST,N,19115
25,FRANKFORD AVE & LINDEN AVE,N,19114
26,3031 GRAYS FERRY AVE,S,19143
27,8140 BARTRAM AVE,S,7500
28,RICHMOND ST & KIRKBRIDE ST,N,19137
29,3420 HAVERFORD AVE,S,19104-1469
30,S 24TH ST & RITNER ST,S,19145
31,N 4TH ST & W GIRARD AVE,S,19130
32,S 52ND ST & WILLOWS AVE,S,19143
33,N FRONT ST & W LUZERNE ST,N,19140
34,KEYSTONE ST & MAGEE AVE,N,19135
35,2110 MARKET ST,S,19139
36,S 56TH ST & CHESTNUT ST,S,19139
37,1127 W LOUDEN ST,N,19141
38,LORETTO AVE & COTTMAN AVE,N,19111
39,S 65TH ST & WOODLAND AVE,S,19142
40,W HUNTING PARK AVE & SCHUYLER ST,N,19121:19140
41,711 S BROAD ST,S,19102
42,2426 N 2ND ST,S,19133
43,E MOYAMENSING AVE & WASHINGTON AVE,S,19147
44,N 43RD ST & MARKET ST,S,19104-1469
45,BELGRADE ST & E HUNTINGDON ST,S,19134
46,KENSINGTON AVE & CASTOR AVE,N,19124
47,N 4TH ST & ARCH ST,S,19106
48,GERMANTOWN AVE & CARPENTER LN,N,19119
49,S 12TH ST & REED ST,S,19147
50,S 6TH ST & SOUTH ST,S,19146
51,4445 MAIN ST,N,19127
52,1541 PARRISH ST,S,19130
53,FOULKROD ST & DARRAH ST,N,19124
54,BELMONT AVE & VIOLA ST,S,19104
55,8205 E ROOSEVELT BLVD,N,19152
56,E CHELTEN AVE & BAYNTON ST,N,19144
57,N 10TH ST & CHERRY ST,S,19107
58,ACADEMY RD & COMLY RD,N,19154
59,S 20TH ST & FEDERAL ST,S,19146
60,BOUDINOT ST & HART LN,N,19134
61,N 19TH ST & W OXFORD ST,S,19121
62,BELGRADE ST & E ONTARIO ST,N,19134
63,SCHUYLKILL RIVER N. OF PASSYUNK AVE,S,7500
64,240 SPRING GARDEN ST,S,19122
65,5200 PENNYPACK ST,N,19136
66,N FRONT ST & W LUZERNE ST,N,19140
67,3061 ISLAND AVE,N,19153
68,N 02ND ST & QUARRY ST,S,19106
69,W HUNTING PARK AVE & N FRONT ST, ,19120
