ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19114,2020,4,11,0
19114,2020,3,8,0
19114,2020,2,13,214000
19114,2020,1,41,216000
19114,2019,12,52,219000
19114,2019,11,82,223000
19114,2019,10,43,225000
19114,2019,9,23,228000
19114,2019,8,30,223000
19114,2019,7,39,210000
19114,2019,6,18,210000
19114,2019,5,37,216000
19114,2019,4,32,236000
19114,2019,3,28,192000
19114,2019,2,39,211000
19114,2019,1,40,199000
19114,2018,12,16,221000
19114,2018,11,44,204000
19114,2018,10,36,241000
19114,2018,9,27,209000
19114,2018,8,34,210000
19114,2018,7,36,184000
19114,2018,6,33,210000
19114,2018,5,20,179000
19114,2018,4,17,179000
19114,2018,3,39,196000
19114,2018,2,16,183000
19114,2018,1,39,187000
19114,2017,12,40,187000
19114,2017,11,33,195000
19114,2017,10,25,224000
19114,2017,9,37,208000
19114,2017,8,59,229000
19114,2017,7,18,227000
19114,2017,6,106,180000
19114,2017,5,37,181000
19114,2017,4,16,172000
