ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19142,2020,4,3,0
19142,2020,3,8,0
19142,2020,2,12,79000
19142,2020,1,36,85000
19142,2019,12,33,81000
19142,2019,11,58,70000
19142,2019,10,40,97000
19142,2019,9,17,71000
19142,2019,8,11,77000
19142,2019,7,14,55000
19142,2019,6,23,73000
19142,2019,5,40,73000
19142,2019,4,18,49000
19142,2019,3,20,66000
19142,2019,2,36,47000
19142,2019,1,33,75000
19142,2018,12,28,70000
19142,2018,11,31,51000
19142,2018,10,20,68000
19142,2018,9,12,82000
19142,2018,8,56,57000
19142,2018,7,39,63000
19142,2018,6,38,61000
19142,2018,5,24,55000
19142,2018,4,26,33000
19142,2018,3,29,51000
19142,2018,2,24,47000
19142,2018,1,26,60000
19142,2017,12,27,58000
19142,2017,11,17,58000
19142,2017,10,23,54000
19142,2017,9,17,64000
19142,2017,8,33,62000
19142,2017,7,16,80000
19142,2017,6,82,45000
19142,2017,5,13,60000
19142,2017,4,6,93000
