OBJECTID,X,Y,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
1,-75.14773604327267,39.968628148099754,1022 N Marshall St,3.0,Certification,19123
2,-75.16445354487348,39.91652729144794,2654 S 10th St,1.0,Basic,19148
3,-75.1152078483196,40.03418656123922,5570 Rising Sun Ave,1.0,Basic,19120
4,-75.15794610470498,39.96056780272741,453 N 12th St,3.0,Certification,19123
5,-75.17225389140691,39.92602482257415,1551 Mckean St,2.0,Basic,19145
6,-75.15385413444437,39.93495014270125,1111 S 6th St,1.0,Basic,19147
7,-75.17916676376184,39.933100229183175,2050 Dickinson St,2.0,Basic,19146
8,-75.17125619957054,39.979017305305135,2201 W Oxford St,3.0,Enhanced,19121
9,-75.17256396917999,40.00257041498203,3101 N 26th St,3.0,Enhanced,19132
10,-75.17698617002291,39.982761075652725,1800 N 26Th St,3.0,Enhanced,19121
11,-75.12341182680147,39.99105070656781,2764-72 Kensington Ave,2.0,Basic,19134
12,-75.1747041840123,39.997092923647045,2655 W Sterner St,1.0,Basic,19132
13,-75.1926267387448,39.927298598229946,2800 Snyder Ave,2.0,Basic,19145
14,-75.15468470590592,39.961777562485,1009 Spring Garden St,3.0,Enhanced,19123
15,-75.1638511541991,40.00539245282174,3324 N 21st St,3.0,Enhanced,19140
16,-75.22912979906195,39.95439292829745,5356 Delancey Street,3.0,Certification,19143
17,-75.15109864413905,40.000805821400476,1327 W Wishart St,3.0,Enhanced,19132
18,-75.14863821802095,39.96383632120147,623 Fairmount Ave,3.0,Enhanced,19123
19,-75.23106492180064,39.937957852082334,1701 S 58th St,2.0,Basic,19143
20,-75.2189194705561,39.95619241766116,4847 Walnut St,3.0,Enhanced,19139
21,-75.22225397753091,39.962902277062454,5101 Race St,2.0,Basic,19139
22,-75.21643982534226,39.94016460199246,1360 S 51st St,3.0,Enhanced,19143
23,-75.21884913487298,39.940566308446606,1401 S 52nd St,2.0,Basic,19143
24,-75.2290734939223,39.96912298033945,5414 Wyalusing Ave,1.0,Basic,19131
25,-75.23026507001359,39.96389287689888,5501 Race Street,1.0,Basic,19139
26,-75.23812344215733,39.95550645486174,5800 Delancey St,3.0,Enhanced,19143
27,-75.17943235434052,39.993425157581456,2462 N 29Th St,3.0,Enhanced,19132
28,-75.23755617527533,39.92825458480885,1930 S 65Th St,2.0,Basic,19142
29,-75.16116126345084,39.9220674837408,853 Jackson St,3.0,Enhanced,19148
30,-75.22625713879997,39.941311263364895,5456 Warrington Ave,2.0,Basic,19143
31,-75.16571098228829,39.965730559431655,1700 Wallace St,3.0,Enhanced,19130
32,-75.1737350329493,40.02683646343046,264 W Queen Ln,3.0,Enhanced,19144
33,-75.2514466754991,39.97464991994153,6572 Lansdowne Ave,3.0,Enhanced,19151
34,-75.16869818846851,39.91910175732235,1300 W Porter St,3.0,Certification,19148
35,-75.12672753892238,39.98614072509348,2533 Emerald St,1.0,Basic,19125
36,-75.14928972573846,40.0641273301789,1949 72nd Ave,1.0,Basic,19138
37,-75.08928142623395,40.03263464720315,948 E Sanger St,1.0,Basic,19124
38,-75.08124067045159,40.035403536001574,6059 Castor Ave,3.0,Enhanced,19149
39,-75.06251865580037,40.05509454271783,7534 Castor Ave,2.0,Basic,19152
40,-75.23201720591638,39.95538814607466,5503 Spruce St,2.0,Basic,19139
41,-75.17094884973187,39.94438212546806,1739 South St,1.0,Basic,19146
42,-75.16048720458366,39.98528968738236,1643 W Diamond St,3.0,Enhanced,19121
43,-75.15885591708401,39.992391188917644,2568 N Bancroft St,2.0,Basic,19132
44,-75.14295099040834,40.02235678732104,4600 N 11th St,3.0,Enhanced,19140
45,-75.11744407427359,40.02075842365,419 East Wyoming Ave,2.0,Basic,19120
46,-75.17203723143895,39.925073113692044,1545 W. Passyunk Ave,1.0,Basic,19145
47,-75.22724544074532,39.924447783065794,6247 Elmwood Ave,2.0,Basic,19142
48,-75.1809200478903,39.99414575413495,3000 W Cumberland St,2.0,Basic,19132
49,-75.17286239869279,40.0042318699881,2615 W Allegheny Ave,1.0,Basic,19132
50,-75.11516025093178,39.99791638945277,800 E Willard St,2.0,Basic,19134
51,-75.1456949471651,39.994469703498176,2801 N 9th St,2.0,Basic,19133
52,-75.16894522327085,39.97142117346528,1945 Poplar St,3.0,Enhanced,19130
53,-75.13175142759344,40.02005237388728,328 W Annsbury St,1.0,Basic,19140
54,-75.10156271766235,40.04334276944955,546 Van Kirk St,3.0,Enhanced,19120
55,-75.18062567232718,39.995136972899374,2565 N 30th St,3.0,Enhanced,19132
56,-75.2281168075052,39.960454877868585,5343 Market St,3.0,Certification,19139
57,-75.11572489556193,39.99516499813707,3101 Kensington Avenue,3.0,Enhanced,19134
58,-75.12924286370884,39.99891682574429,3220 Front St,1.0,Basic,19140
59,-75.09062094782877,40.03347785452693,899 E Sanger St,1.0,Basic,19124
60,-75.21443414738619,39.948893999763754,4548 Baltimore Ave,2.0,Basic,19143
61,-75.21434454710794,39.94227707957802,1262 S 49th St,3.0,Enhanced,19143
62,-75.15718453282985,39.99386963325389,1555 W Oakdale St,1.0,Basic,19132
63,-75.13141964966603,40.0005033260604,3300 Mutter St,2.0,Basic,19140
64,-75.22713965168491,39.936677065872885,5700 Chester Ave,3.0,Enhanced,19143
65,-75.23234637442323,39.94771411409909,5445 Baltimore Avenue,3.0,Enhanced,19143
66,-75.22899639188608,39.98588012923829,5301 Euclid St,1.0,Basic,19131
67,-75.24191243154876,39.95622365009577,309 S 60th St,2.0,Basic,19143
68,-75.07795389352242,40.00609196993621,2350 Orthodox St,2.0,Basic,19137
69,-75.04119320474376,40.0307290821701,4424 Princeton Ave,1.0,Basic,19135
70,-75.13037738051398,39.97367346458835,460 Belgrade St,2.0,Basic,19125
71,-75.18209926583117,39.93715674910253,1240 S 23rd St,2.0,Basic,19146
