OBJECTID,PUBLIC_NAME,ADDRESS911,ZIPCODE,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT
1,William H (Billy) Markward Memorial Playground,400 S TANEY ST,19146,3.37915795,NEIGHBORHOOD_PARK,RECREATION_SITE,7
2,Schuylkill Banks,400 S TANEY ST,19103,14.71731429,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7
3,Schuylkill River Park,400 S TANEY ST,19146,7.32699974,NEIGHBORHOOD_PARK,RECREATION_SITE,7
4,Frankford Boat Launch,5625 TACONY ST,19137,19.39807466,NEIGHBORHOOD_PARK,BOATHOUSE_LAUNCH,2
5,Orthodox Street Park,3101 ORTHODOX ST,19137,16.22962912,NEIGHBORHOOD_PARK,UNDEVELOPED,5
6,Wissahickon Valley Park,,19128,2064.12583435,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,4
7,West Fairmount Park, ,19131,1269.28728486,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,7
8,Pennypack Park, ,19152,1367.41921908,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,1
9,East Fairmount Park, ,19121,649.68501769,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,7
10,Tacony Creek Park, ,19120,316.69048106,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,3
11,Franklin Delano Roosevelt Park,3500 S BROAD ST,19145,348.60505699,WATERSHED_PARK,MISC_PARK,9
12,Hunting Park,1101 W HUNTING PARK AVE,19140,76.46722118,REGIONAL_PARK,RECREATION_SITE,3
13,Awbury Park and Recreation Center,6101 ARDLEIGH ST,19138,27.91906226,NEIGHBORHOOD_PARK,RECREATION_SITE,4
14,Fisher Park,572 W SPENCER ST,19120,24.49836533,NEIGHBORHOOD_PARK,RECREATION_SITE,3
15,Eastwick Regional Playground,7899 MERCURY PL,19153,23.37179352,NEIGHBORHOOD_PARK,RECREATION_SITE,9
16,Whitby Avenue Playground,1300 COBBS CREEK PKY,19143,5.16703317,NEIGHBORHOOD_PARK,MISC_PARK,8
17,Holme Avenue Field,2761 HOLME AVE,19152,1.15862151,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,1
18,29th and Passyunk Park,2827 W PASSYUNK AVE,19145,0.5560274000000001,NEIGHBORHOOD_PARK,MISC_PARK,9
19,Price Street Play Lot,185 W PRICE ST,19144,0.18084375,POCKET_PARK,MISC_PARK,4
20,Sedgley Woods Disc Golf Course,3400 RESERVOIR DR,19121,30.45421535,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7
21,Robert Wilson III Park,6100 BALTIMORE AVE,19143,1.16280072,NEIGHBORHOOD_PARK,MISC_PARK,8
22,Rufus O Williams Memorial Playground,700 COBBS CREEK PKY,19143,3.83114077,NEIGHBORHOOD_PARK,MISC_PARK,8
23,Al Pearlman Sports Center,600 PORT ROYAL AVE,19128,7.02188644,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4
24,Lauretha Vaird Boys and Girls Club,4800 WHITAKER AVE,19120,6.30822911,NEIGHBORHOOD_PARK,RECREATION_SITE,3
25,Torresdale and Enfield Fields,4600 ENFIELD AVE,19136,6.58788571,NEIGHBORHOOD_PARK,MISC_PARK,1
