OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,SCHOOL_NAME,SCHOOL_NAME_LABEL,STREET_ADDRESS,ZIP_CODE,PHONE_NUMBER,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
1,,,3327,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5339 LEBANON AVE,19131,(215) 877-9880,O,ELEMENTARY/MIDDLE,5-8,,2,CHARTER
2,,,3377,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5901 WOODBINE AVE,19131,(215) 879-1800,O,ELEMENTARY SCHOOL,K-4,,2,CHARTER
3,226515302,,,OUR MOTHER OF CONSOLATION,OUR MOTHER CONSOLATION,7-29 E CHESTNUT HILL AVE,19118,(215) 247-1060,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
4,226512152,,,HOLY CROSS SCHOOL,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,(215) 242-0414,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
5,226518092,,,ST JEROME SCHOOL,ST JEROME SCHOOL,2950 HOLME AVE,19136,(215) 624-0637,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
6,226515552,,,RESURRECTION REGIONAL CATHOLIC SCHOOL,RESURRECTION REGIONAL CATHOLIC SCHOOL,2020 SHELMIRE AVE.,19152,(215) 742-1127,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
7,226511602,,,FATHER JUDGE HIGH SCHOOL,FATHER JUDGE HIGH SCHOOL,3301 SOLLY AVE,19136,(215) 338-9494,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
8,226517902,,,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,ST HELENA SCHOOL,6101 N 5TH ST,19120,(215) 549-2947,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
9,226519282,,,ST ROSE OF LIMA SCHOOL,ST ROSE OF LIMA SCHOOL,1508 N  WANAMAKER ST,19131,(215) 473-6030,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
10,226512702,,,IMMACULATE HEART OF MARY SCHOOL,IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD,19128,(215) 482-2029,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
11,226516302,,,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7105 LIMEKILN PIKE,19138,(215) 424-5045,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
12,226517052,,,ST CECILIA SCHOOL,ST CECILIA SCHOOL,535 RHAWN ST,19111,(215) 725-8588,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
13,226517252,,,ST MARTIN DE PORRES SCHOOL,ST MARTIN DE PORRES SCHOOL,2300-36 W LEHIGH AVE,19132,(215) 223-6872,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
14,226514552,,,OUR LADY OF PORT RICHMOND SCHOOL,OUR LADY OF PORT RICHMOND SCHOOL,2639 E ALLEGHENY AVE,19134,(215) 739-1920,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
15,226516202,,,ST ANSELM ELEMENTARY SCHOOL,ST ANSELM ELEMENTARY SCHOOL,12656 DUNKS FERRY RD,19154,(215) 632-1133,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
16,226517152,,,ST CHRISTOPHER SCHOOL,ST CHRISTOPHER SCHOOL,13301 PROCTOR RD,19116,(215) 673-5787,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
17,226510452,,,ARCHBISHOP RYAN HIGH SCHOOL,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,(215) 637-1800,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
18,226519022,,,ST MONICA SENIOR SCHOOL,ST MONICA SENIOR SCHOOL,2500 S 16TH ST,19145,(215) 467-5338,O,ELEMENTARY/MIDDLE,6-8,,3,ARCHDIOCESE
19,226514102,,,MERCY CAREER AND TECHNICAL HIGH SCHOOL,MERCY VOCATIONAL HIGH SCHOOL,2901 W ALLEGHENY AVE,19129,(215) 226-1225 ,O,HIGH SCHOOL,9-12,,3,ARCHDIOCESE
20,226518662,,,ST MALACHY SCHOOL,ST MALACHY SCHOOL,1415 N 11TH ST,19122,(215) 232-0696,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
21,226518752,,,ST MARTIN OF TOURS SCHOOL,ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLV,19124,(215) 533-3050,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
22,226518332,,,ST KATHERINE SIENA SCHOOL,ST KATHERINE SIENA SCHOOL,9720-88 FRANKFORD AVE,19114,(215) 637-2181,O,ELEMENTARY/MIDDLE,K-8,,3,ARCHDIOCESE
23,226518062,,,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,632-44 N 43RD ST,19104,(215) 222-3626,O,ELEMENTARY/MIDDLE,PREK-8,,3,PRIVATE
24,126515001,,8320,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,"LA BRUM, GENERAL J. HARRY",10800 HAWLEY ST.,19154,(215) 400-3122,O,MIDDLE SCHOOL,6-8,,1,DISTRICT
25,226516452,,,ST BARNABAS CATHOLIC SCHOOL,ST. BARNABAS CATHOLIC SCHOOL,6334 BUIST AVE,19142,(215) 729-3603,O,ELEMENTARY/MIDDLE,PREK-8,,3,ARCHDIOCESE
