OBJECTID,SCHOOL_NAME,STREET_ADDRESS,ZIP_CODE,GRADE_LEVEL,GRADE_ORG,TYPE,TYPE_SPECIFIC
1,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5339 LEBANON AVE,19131,ELEMENTARY/MIDDLE,5-8,2,CHARTER
2,LABORATORY CHARTER SCHOOL OF COMMUNICATIONS/DESIGN (ANNEX),5901 WOODBINE AVE,19131,ELEMENTARY SCHOOL,K-4,2,CHARTER
3,OUR MOTHER OF CONSOLATION,7-29 E CHESTNUT HILL AVE,19118,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
4,HOLY CROSS SCHOOL,148-54 E MOUNT AIRY AVE,19119,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
5,ST JEROME SCHOOL,2950 HOLME AVE,19136,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
6,RESURRECTION REGIONAL CATHOLIC SCHOOL,2020 SHELMIRE AVE.,19152,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
7,FATHER JUDGE HIGH SCHOOL,3301 SOLLY AVE,19136,HIGH SCHOOL,9-12,3,ARCHDIOCESE
8,ST HELENA INCARNATION REGIONAL CATHOLIC SCHOOL,6101 N 5TH ST,19120,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
9,ST ROSE OF LIMA SCHOOL,1508 N  WANAMAKER ST,19131,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
10,IMMACULATE HEART OF MARY SCHOOL,815-23 CATHEDRAL RD,19128,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
11,ST ATHANASIUS IMMACULATE CONCEPTION SCHOOL,7105 LIMEKILN PIKE,19138,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
12,ST CECILIA SCHOOL,535 RHAWN ST,19111,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
13,ST MARTIN DE PORRES SCHOOL,2300-36 W LEHIGH AVE,19132,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
14,OUR LADY OF PORT RICHMOND SCHOOL,2639 E ALLEGHENY AVE,19134,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
15,ST ANSELM ELEMENTARY SCHOOL,12656 DUNKS FERRY RD,19154,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
16,ST CHRISTOPHER SCHOOL,13301 PROCTOR RD,19116,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
17,ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD,19154,HIGH SCHOOL,9-12,3,ARCHDIOCESE
18,ST MONICA SENIOR SCHOOL,2500 S 16TH ST,19145,ELEMENTARY/MIDDLE,6-8,3,ARCHDIOCESE
19,MERCY CAREER AND TECHNICAL HIGH SCHOOL,2901 W ALLEGHENY AVE,19129,HIGH SCHOOL,9-12,3,ARCHDIOCESE
20,ST MALACHY SCHOOL,1415 N 11TH ST,19122,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
21,ST MARTIN OF TOURS SCHOOL,5400 E ROOSEVELT BLV,19124,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
22,ST KATHERINE SIENA SCHOOL,9720-88 FRANKFORD AVE,19114,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
23,OUR MOTHER OF SORROWS/ST IGNATIUS OF LOYOLA SCHOOL,632-44 N 43RD ST,19104,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
24,JOHN HANCOCK DEMONSTRATION MIDDLE SCHOOL- LABRUM CAMPUS,10800 HAWLEY ST.,19154,MIDDLE SCHOOL,6-8,1,DISTRICT
25,ST BARNABAS CATHOLIC SCHOOL,6334 BUIST AVE,19142,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
26,ST GABRIEL SCHOOL,1432 S  29TH ST,19146,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
27,ST DOMINIC SCHOOL,8500 FRANKFORD AVE,19136,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
28,ST FRANCIS DESALES SCHOOL,917 S 47TH ST,19143,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
29,SS JOHN NEUMANN AND MARIA GORETTI CATHOLIC HIGH SCHOOL,1736 S 10TH ST,19148,HIGH SCHOOL,9-12,3,ARCHDIOCESE
30,ST HUBERTS CATHOLIC HIGH SCHOOL,7320 TORRESDALE AVE,19136,HIGH SCHOOL,9-12,3,ARCHDIOCESE
31,VISITATION SCHOOL,300-40 E LEHIGH AVE,19125,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
32,WEST CATHOLIC PREPARATORY HIGH SCHOOL,4501-17 CHESTNUT ST,19139,HIGH SCHOOL,9-12,3,ARCHDIOCESE
33,ST THOMAS AQUINAS SCHOOL,1616 S  17TH ST,19145,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
34,ST RAYMOND OF PENAFORT SCHOOL,1330 VERNON RD,19150,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
35,BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3001 LEVICK ST,19149,ELEMENTARY/MIDDLE,1-8,3,ARCHDIOCESE
36,ST PETER THE APOSTLE SCHOOL,1009 N 5TH ST,19123,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
37,ST MATTHEW SCHOOL,3000 COTTMAN AVE,19149,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
38,ST LAURENTIUS SCHOOL,1612 E BERKS ST,19125,ELEMENTARY/MIDDLE,K-8,3,ARCHDIOCESE
39,ST FRANCES CABRINI REGIONAL CATHOLIC SCHOOL,405 N 65TH ST,19151,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
40,ST PIO REGIONAL CATHOLIC SCHOOL,1826 POLLOCK ST,19145,ELEMENTARY/MIDDLE,PREK-8,3,ARCHDIOCESE
41,"SYLVAN LEARNING CENTER
",6537 ROOSEVELT BLVD,19149,TUTORING,UNGRADED,3,PRIVATE
42,DELTA SCHOOL,3515 WOODHAVEN RD,19154,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
43,NORWOOD FONTBONNE ACADEMY,8891 GERMANTOWN AVE,19118,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
44,SPRINGSIDE CHESTNUT HILL ACADEMY,500 W WILLOW GROVE AVE,19118,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
45,SPRINGSIDE CHESTNUT HILL ACADEMY,8000 CHEROKEE ST,19118,ELEMENTARY/MIDDLE/HIGH,PREK-12,3,PRIVATE
46,BELMONT ACADEMY CHARTER SCHOOL,907 N 41ST ST,19104,ELEMENTARY SCHOOL,PREK-K,2,CHARTER
47,PHILADELPHIA ACADEMY CHARTER SCHOOL (ANNEX),1700 TOMLINSON RD,19116,HIGH SCHOOL,9-12,2,CHARTER
48,ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1630-32 N 16TH ST,19121,ELEMENTARY SCHOOL,4-8,2,CHARTER
49,CEDAR GROVE CHRISTIAN ACADEMY LOWER SCHOOL,600 HELLERMAN ST,19111,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
50,ST PETERS SCHOOL,311-21 LOMBARD ST,19147,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
51,TIMOTHY ACADEMY,5500 TABOR AVE,19120,ELEMENTARY/MIDDLE,PREK-8,3,PRIVATE
52,ST JOSEPH'S PREPARATORY SCHOOL,1733 W GIRARD AVE,19130,HIGH SCHOOL,9-12,3,PRIVATE
53,FAITH CONNECTION CHRISTIAN ACADEMY,4524 BALTIMORE AVE,19143,ELEMENTARY/MIDDLE/HIGH,K-12,3,PRIVATE
54,RED LION ELEMENTARY SCHOOL,256 GEIGER RD,19115,ELEMENTARY SCHOOL,K-5,3,PRIVATE
