zip_code,number_zip_code_count,avg_market_value,avg_number_bedrooms,avg_number_stories,avg_taxable_building,avg_taxable_land,avg_total_area,avg_livable_area,avg_year_built,avg_sale_price,hospitals_count,parks_recreation_count,healthy_corner_stores_count,health_centers_count,schools_count,ave_sale_count_2017_to_2020_market_sale,avg_sales_price_2017_to_2020_market_sale
19132,6895,50549,2.8,2,30908,8447,1033,1386,1924,57026,null,15,47,2,14,39,36829
19151,8108,145389,1.8,1.9,96239,24107,2261,1581,1932,117789,null,7,13,null,14,27,144686
19121,6186,220812,3,2.1,81288,45149,1301,1932,1934,214792,null,19,34,4,22,29,163343
19138,7144,110850,2.9,1.9,72611,16469,1837,1329,1925,77899,null,5,14,null,13,31,122286
19147,11106,447367,1.8,2.1,249633,111524,846,1944,1933,357846,null,32,16,2,12,54,463378
19102,1611,899973,0.5,7,663141,128029,202,2940,1943,1944578,1,1,null,null,2,9,689829
19122,3285,309323,2.3,1.9,87242,66732,1472,2076,1942,209961,2,17,16,2,13,17,244657
19136,8424,158611,2.3,1.8,100877,33246,2348,1367,1952,120810,null,14,7,null,11,49,149371
19127,1946,291873,2.9,2.4,186479,46548,1774,1933,1924,284846,null,6,null,null,2,13,247086
19139,8956,107273,2.3,1.8,66898,17240,1431,1689,1925,104043,1,8,26,2,16,30,98351
19131,8470,128406,2.5,1.2,81571,21032,2302,1772,1930,102273,1,29,18,null,25,31,115611
19128,9621,263797,2.8,1.9,177414,40915,4282,1727,1949,204637,2,23,5,null,12,56,258528
19141,6076,115687,2.4,1.9,74183,19755,1986,1735,1930,80723,2,8,8,1,13,21,109400
19148,13741,211963,2.9,2,131259,42365,873,1244,1927,146189,1,14,39,1,15,77,241457
19124,16653,101338,2.5,1.6,65793,17102,1713,1349,1936,82865,2,17,26,2,25,70,93833
19140,10605,55203,2.5,1.8,31779,8168,1243,1415,1931,54247,2,14,46,3,32,46,46694
19120,16363,97272,2.6,2,62118,15742,1611,1301,1937,73757,null,9,43,2,17,61,94667
19134,15776,82216,2.6,1.9,48093,18796,1090,1194,1923,75782,1,17,68,1,16,80,88750
19126,3245,178534,2.9,2,120088,30456,3803,2044,1930,126520,null,1,6,null,5,13,165500
19137,2372,149161,2.3,2,80628,41955,1787,1289,1926,96788,null,3,2,null,4,13,142833
19104,4958,338866,1.5,2.1,201331,61400,2003,2681,1923,269337,4,11,7,3,20,15,220944
19111,14340,191153,1.6,1.3,122706,40467,3411,1562,1952,147638,3,10,7,null,12,60,180865
19107,2906,631445,0.5,1.1,396289,115949,582,2641,1911,638449,3,5,null,1,3,11,343441
19129,2674,251385,2.8,1.7,157578,41004,3889,1870,1947,203109,null,5,1,null,6,15,249286
19103,5836,853449,0.6,2.9,523918,150294,481,2394,1922,836848,null,16,null,null,10,21,751314
19150,5217,155727,3,1.9,103278,24013,2419,1426,1948,112047,null,2,null,1,4,20,190703
19116,7271,257270,1.3,1.2,144549,73086,5018,1771,1970,187961,null,5,null,null,9,29,242028
19145,12259,183620,2.7,2,113606,38278,1078,1334,1929,140526,2,12,22,2,15,66,222081
19115,7526,256037,1.2,0.6,151407,70760,5971,1823,1968,189906,null,7,1,null,7,31,244528
19123,4235,449909,1.8,1.8,188082,93661,1060,2198,1955,598425,null,7,13,3,11,21,490278
19135,8960,123201,2.2,1.9,79519,24401,2004,1328,1941,99994,null,12,7,null,5,49,120917
19149,14503,141702,2.8,1.7,97396,24376,1796,1272,1947,111483,null,3,3,1,8,84,152139
19113,2,266900,3,2,170497,51403,2718,1020,2009,258750,null,null,null,null,null,null,null
19146,13300,335665,2.2,2.1,169926,79131,790,1419,1928,668644,1,12,27,1,10,74,379351
19154,8121,212861,2.1,1.6,116676,62567,3246,1443,1969,138406,null,14,null,null,11,42,205667
19142,7976,77927,2.6,1.4,50098,12419,1427,1214,1925,72038,null,6,26,null,13,28,64857
19106,5068,606565,0.4,0.7,387672,108369,350,1859,1930,648883,null,12,null,null,5,17,847886
19153,2783,170580,2.4,1.4,92696,40943,2795,1618,1945,146616,null,8,null,null,1,10,124486
19119,6478,293767,2.8,1.7,211004,49664,5443,2226,1930,234459,null,8,null,null,11,33,297568
19143,13956,122108,2.4,1.2,78240,19652,1468,1570,1923,102884,1,22,43,3,21,51,153432
19152,7702,223857,1,1.2,148961,44892,3639,1567,1958,178002,2,6,2,null,6,43,230657
19114,7222,220692,1.1,1.4,125992,61561,3706,1663,1968,160815,1,10,null,null,10,36,206514
19125,8012,263980,2.3,2,114934,65280,990,1495,1914,243857,1,11,8,null,11,52,288417
19130,7689,456707,1.7,1.3,270811,100904,806,1922,1935,358982,1,15,11,2,16,42,403114
19118,1997,600295,2.9,1.5,409920,138580,14414,2917,1928,472957,1,6,null,null,6,9,716429
19144,7729,156187,2.6,2.1,103000,25130,3278,2214,1914,143795,1,19,19,3,18,31,146500
19133,3169,55539,2.3,1.8,29378,12351,1102,1595,1924,58586,null,13,38,3,10,23,47371
