ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19103,2020,4,4,0
19103,2020,3,5,0
19103,2020,2,7,1138000
19103,2020,1,22,661000
19103,2019,12,20,959000
19103,2019,11,31,631000
19103,2019,10,12,851000
19103,2019,9,8,531000
19103,2019,8,18,923000
19103,2019,7,20,1064000
19103,2019,6,17,671000
19103,2019,5,24,782000
19103,2019,4,19,1127000
19103,2019,3,13,708000
19103,2019,2,15,603000
19103,2019,1,20,967000
19103,2018,12,17,760000
19103,2018,11,20,954000
19103,2018,10,20,683000
19103,2018,9,16,420000
19103,2018,8,29,824000
19103,2018,7,20,636000
19103,2018,6,33,699000
19103,2018,5,16,591000
19103,2018,4,12,721000
19103,2018,3,15,852000
19103,2018,2,18,694000
19103,2018,1,29,677000
19103,2017,12,27,793000
19103,2017,11,14,420000
19103,2017,10,17,606000
19103,2017,9,32,744000
19103,2017,8,31,645000
19103,2017,7,21,746000
19103,2017,6,61,732000
19103,2017,5,24,757000
19103,2017,4,13,726000
