ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19143,2020,5,3,382000
19143,2020,4,10,433000
19143,2020,3,33,0
19143,2020,2,25,80000
19143,2020,1,71,175000
19143,2019,12,80,165000
19143,2019,11,124,151000
19143,2019,10,54,152000
19143,2019,9,39,201000
19143,2019,8,41,201000
19143,2019,7,44,216000
19143,2019,6,49,154000
19143,2019,5,48,142000
19143,2019,4,57,151000
19143,2019,3,39,151000
19143,2019,2,49,163000
19143,2019,1,60,151000
19143,2018,12,41,140000
19143,2018,11,70,121000
19143,2018,10,48,99000
19143,2018,9,47,167000
19143,2018,8,60,148000
19143,2018,7,73,113000
19143,2018,6,61,100000
19143,2018,5,55,83000
19143,2018,4,45,72000
19143,2018,3,73,77000
19143,2018,2,42,111000
19143,2018,1,39,104000
19143,2017,12,66,106000
19143,2017,11,37,107000
19143,2017,10,36,116000
19143,2017,9,61,149000
19143,2017,8,63,238000
19143,2017,7,27,119000
19143,2017,6,121,93000
19143,2017,5,29,169000
19143,2017,4,9,177000
