ZIP Code,Year,Month,SalesCount,AvgSalesPrice
19102,2020,3,1,0
19102,2020,2,2,365000
19102,2020,1,12,617000
19102,2019,12,5,904000
19102,2019,11,18,533000
19102,2019,10,7,1011000
19102,2019,9,2,1008000
19102,2019,8,14,428000
19102,2019,7,12,675000
19102,2019,6,13,767000
19102,2019,5,7,1005000
19102,2019,4,11,815000
19102,2019,3,8,766000
19102,2019,2,5,800000
19102,2019,1,7,1117000
19102,2018,12,4,297000
19102,2018,11,9,627000
19102,2018,10,5,592000
19102,2018,9,5,315000
19102,2018,8,8,569000
19102,2018,7,9,720000
19102,2018,6,17,485000
19102,2018,5,5,325000
19102,2018,4,2,266000
19102,2018,3,8,947000
19102,2018,2,4,573000
19102,2018,1,12,961000
19102,2017,12,10,753000
19102,2017,11,3,652000
19102,2017,10,5,854000
19102,2017,9,19,680000
19102,2017,8,8,468000
19102,2017,7,10,817000
19102,2017,6,37,856000
19102,2017,5,8,801000
19102,2017,4,5,775000
